"MatchId","TournamentRound","PieRound","Year","Pie","Votes","Points","Opponent","OpponentVotes","OpponentPoints","Result"
"POGSVOwsXnaq","1","1","1","Brownie Fudge (Walnut, Mint, Plain, Toffee, Triple Chocolate, Peanut Butter, M&M, Coconut)","3","3","Buttermilk Chess","0","0","WIN"
"POGSVOwsXnaq","1","1","1","Buttermilk Chess","0","0","Brownie Fudge (Walnut, Mint, Plain, Toffee, Triple Chocolate, Peanut Butter, M&M, Coconut)","3","3","LOSS"
"v2crbm2N-kUF","1","1","1","Butterscotch Pecan Blondie","2","2","Cabernet Berry","1","1","WIN"
"v2crbm2N-kUF","1","1","1","Cabernet Berry","1","1","Butterscotch Pecan Blondie","2","2","LOSS"
"NYGeOEP_Iw35","1","1","1","Caramel Apple","1","1","Cherry (Crumb or Crust)","2","2","LOSS"
"NYGeOEP_Iw35","1","1","1","Cherry (Crumb or Crust)","2","2","Caramel Apple","1","1","WIN"
"k7wP7YnsYXSF","1","1","1","Blueberry Muffin","0","0","Bourbon Chocolate Pecan","3","3","LOSS"
"k7wP7YnsYXSF","1","1","1","Bourbon Chocolate Pecan","3","3","Blueberry Muffin","0","0","WIN"
"Gn40Vjl9RSXM","1","1","1","Amish Apple","2","2","Apple (Double Crust or Crumb)","1","1","WIN"
"Gn40Vjl9RSXM","1","1","1","Apple (Double Crust or Crumb)","1","1","Amish Apple","2","2","LOSS"
"K_ESTXQL86bW","1","1","1","Apple Chai","3","3","Apple Walnut Raisin","0","0","WIN"
"K_ESTXQL86bW","1","1","1","Apple Walnut Raisin","0","0","Apple Chai","3","3","LOSS"
"lFtb89M47hL_","1","1","1","Blackberry","1","1","Blueberry Crisp","2","2","LOSS"
"lFtb89M47hL_","1","1","1","Blueberry Crisp","2","2","Blackberry","1","1","WIN"
"","1","0","1","Chocolate Pecan","0","0","","0","","BYE"
"WT3U3cSQsMX_","2","1","1","Chocolate Pecan","0","0","Butterscotch Pecan Blondie","3","6","LOSS"
"WT3U3cSQsMX_","2","2","1","Butterscotch Pecan Blondie","3","6","Chocolate Pecan","0","0","WIN"
"","1","0","1","Chocolate Honey Pecan","0","0","","0","","BYE"
"Hg71oMLWJTew","2","1","1","Chocolate Honey Pecan","1","1","Brownie Fudge (Walnut, Mint, Plain, Toffee, Triple Chocolate, Peanut Butter, M&M, Coconut)","2","4","LOSS"
"Hg71oMLWJTew","2","2","1","Brownie Fudge (Walnut, Mint, Plain, Toffee, Triple Chocolate, Peanut Butter, M&M, Coconut)","2","4","Chocolate Honey Pecan","1","1","WIN"
"","1","0","1","Coffee Cake Muffin ","0","0","","0","","BYE"
"vBAQqEg2_fhM","2","1","1","Coffee Cake Muffin ","1","1","Cherry (Crumb or Crust)","2","4","LOSS"
"vBAQqEg2_fhM","2","2","1","Cherry (Crumb or Crust)","2","4","Coffee Cake Muffin ","1","1","WIN"
"","1","0","1","Cinnamon Roll Apple","0","0","","0","","BYE"
"","1","0","1","Coconut Chocolate Chip Cookie","0","0","","0","","BYE"
"4BiEfRkMVU83","2","1","1","Cinnamon Roll Apple","3","3","Coconut Chocolate Chip Cookie","0","0","WIN"
"4BiEfRkMVU83","2","1","1","Coconut Chocolate Chip Cookie","0","0","Cinnamon Roll Apple","3","3","LOSS"
"","1","0","1","Chocolate Bourbon Pecan","0","0","","0","","BYE"
"hJoTL-3bap3N","2","1","1","Chocolate Bourbon Pecan","2","2","Apple Chai","1","2","WIN"
"hJoTL-3bap3N","2","2","1","Apple Chai","1","2","Chocolate Bourbon Pecan","2","2","LOSS"
"","1","0","1","Cherry Almond","0","0","","0","","BYE"
"E_497uTCJl33","2","1","1","Cherry Almond","0","0","Amish Apple","3","6","LOSS"
"E_497uTCJl33","2","2","1","Amish Apple","3","6","Cherry Almond","0","0","WIN"
"","1","0","1","Chocolate Chip Cookie (Nuts or M&M's) ","0","0","","0","","BYE"
"olzJlHKL9bkW","2","1","1","Chocolate Chip Cookie (Nuts or M&M's) ","0","0","Bourbon Chocolate Pecan","3","6","LOSS"
