Pie,Year1Rank,Year2Rank,Delta,TotalRank
Whiskey Silk,32,1,-31,33
Amish Apple,11,13,2,24
Mixed Berry,1,44,43,45
Pumpkin Chocolate ,0,0,0,0
German Chocolate Pie,2,2,0,4
Cabernet Berry,1,15,14,16
Butterscotch Cream,0,2,2,2
Margarita,1,2,1,3
Sugar Crack,0,0,0,0
Cranberry Streusel ,4,2,-2,6
Butterscotch Pecan Blondie,39,12,-27,51
Astronaut,9,2,-7,11
Apple (Double Crust or Crumb),1,2,1,3
Strawberry Blackberry,14,51,37,65
Cinnamon Roll Apple,5,7,2,12
Peach (Seasonal - Summer) ,16,8,-8,24
Tiramisu,4,15,11,19
S'mores,0,1,1,1
Cranberry Muffin ,4,7,3,11
Lemon Chess,4,10,6,14
Chocolate Bourbon Pecan,16,36,20,52
Apple Chai,5,22,17,27
Blackberry,1,4,3,5
"Brownie Fudge (Walnut, Mint, Plain, Toffee, Triple Chocolate, Peanut Butter, M&M, Coconut)",7,1,-6,8
Carrot Cake,9,8,-1,17
Nutter Butter,1,1,0,2
Sweet Potato,30,16,-14,46
Chocolate Honey Pecan,1,6,5,7
Strawberry Lemonade ,5,1,-4,6
Bourbon Chocolate Pecan,12,40,28,52
Aunt Audrey's Chocolate Cream ,1,1,0,2
Coffee Cake Muffin ,1,12,11,13
Pumpkin Marshmallow,4,0,-4,4
Red Velvet Cream ,1,1,0,2
Pumpkin Cream Cheese ,4,7,3,11
Pina Colada,0,0,0,0
Cherry (Crumb or Crust),12,5,-7,17
Banana Coconut Cream,1,2,1,3
Strawberry/Rhubarb (Seasonal • Spring) ,5,1,-4,6
Cherry Almond,0,2,2,2
Blueberry Muffin,0,13,13,13
Boozy Blackberry Orange Cream ,36,2,-34,38
Honey Pecan,1,2,1,3
Coconut Cream,0,0,0,0
Coconut Chocolate Chip Cookie,0,0,0,0
Snickers,0,1,1,1
Key Lime,12,27,15,39
Cranberry Apple ,1,5,4,6
Dark Chocolate Cream,6,1,-5,7
Chocolate Covered Strawberry ,1,1,0,2
Boston Cream,1,0,-1,1
Ping Colada,1,0,-1,1
Egg Custard,1,1,0,2
Orange Cranberry Custard ,9,1,-8,10
Shoofly,0,0,0,0
Pumpkin,20,12,-8,32
Chocolate Chess,1,1,0,2
Dirt,4,1,-3,5
Peanut Chip,2,1,-1,3
Lemon Meringue ,32,1,-31,33
Hazelnut Cream,0,1,1,1
Samoa,1,11,10,12
Chocolate Chip Cookie (Nuts or M&M's) ,0,1,1,1
Chocolate Pecan,0,7,7,7
Oreo,1,4,3,5
Blueberry Crisp,16,23,7,39
Chocolate Cloud,2,1,-1,3
Black Bottom Mocha,0,33,33,33
Banana Cream,4,2,-2,6
Banana Caramel Cream,4,14,10,18
Lemon Cream,0,21,21,21
Monster Cookie,1,15,14,16
Southern Oatmeal Rum Raisin ,5,1,-4,6
Funky Monkey,0,4,4,4
Tres Leches,10,2,-8,12
Buttermilk Chess,0,30,30,30
Caramel Apple,1,10,9,11
Buckeye,4,16,12,20
Atlantic Beach,1,24,23,25
Oreo Cream,2,1,-1,3
Strawberry Sour Cream ,0,4,4,4
Macaroon,1,1,0,2
Southern Velvet,1,1,0,2
Coconut/Banana Cream,1,1,0,2
Unicorn,0,0,0,0
Strawberry Shortcake ,1,1,0,2
Apple Walnut Raisin,0,4,4,4
French Coconut,6,0,-6,6
Maple Bourbon Walnut ,27,1,-26,28
Strawberry Blueberry,1,7,6,8
Raspberry Muffin,1,1,0,2
Razzelberry,11,1,-10,12
Irish Cream Brownie,12,2,-10,14
Reese's,0,2,2,2
