MatchId,Year,TournamentRound,PieRound,Pie,Votes,Opponent,OpponentVotes,Result
POGSVOwsXnaq,1,1,1,"Brownie Fudge (Walnut, Mint, Plain, Toffee, Triple Chocolate, Peanut Butter, M&M, Coconut)",3,Buttermilk Chess,0,Win
Hg71oMLWJTew,1,2,2,"Brownie Fudge (Walnut, Mint, Plain, Toffee, Triple Chocolate, Peanut Butter, M&M, Coconut)",2,Chocolate Honey Pecan,1,Win
nc7Ov5gyxZjKx,1,3,3,"Brownie Fudge (Walnut, Mint, Plain, Toffee, Triple Chocolate, Peanut Butter, M&M, Coconut)",0,Butterscotch Pecan Blondie,3,Loss
RtjCUobWrxTtx,2,1,1,"Brownie Fudge (Walnut, Mint, Plain, Toffee, Triple Chocolate, Peanut Butter, M&M, Coconut)",1,Apple Chai,3,Loss
SwZPzAUxaj9Q,1,1,1,Buckeye,2,Boston Cream,1,Win
Pu_vuWRCaNdt,1,2,2,Buckeye,1,German Chocolate Pie,2,Loss
72buqI-63B96H,2,1,1,Buckeye,2,Honey Pecan,2,TieWin
F1i8AYA-dRRw4,2,2,2,Buckeye,4,Pina Colada,0,Win
0GlwDx8FUN8Scs,2,3,3,Buckeye,2,Tiramisu,2,TieWin
jkfgtZNplfPcri,2,4,4,Buckeye,0,Mixed Berry,4,Loss
eaKR8R3HfTQd,1,1,1,Black Bottom Mocha,0,Boozy Blackberry Orange Cream ,3,Loss
,2,1,0,Black Bottom Mocha,0,,,Bye
4cAmgh4LdGqiM,2,2,1,Black Bottom Mocha,2,Chocolate Honey Pecan,2,TieWin
rC44SWWvaigP01,2,3,2,Black Bottom Mocha,3,Cherry (Crumb or Crust),1,Win
6ICjZJwLS3tZh9,2,4,3,Black Bottom Mocha,3,Apple Chai,1,Win
BUAFnCuvwaJuwu,2,5,4,Black Bottom Mocha,4,Key Lime,0,Win
mTCimcaL3tBv,1,1,1,Banana Caramel Cream,2,Aunt Audrey's Chocolate Cream ,1,Win
uAFjXJN_9atC,1,2,2,Banana Caramel Cream,1,Dark Chocolate Cream,2,Loss
,2,1,0,Banana Caramel Cream,0,,,Bye
Ihpa7W4zeFsTJ,2,2,1,Banana Caramel Cream,2,Cranberry Muffin ,2,TieWin
qu9VhU3KOxTiqI,2,3,2,Banana Caramel Cream,3,Samoa,1,Win
M1eIA02RXvZ7CU,2,4,3,Banana Caramel Cream,2,Buttermilk Chess,2,TieLoss
mKg6X31mxzXA,1,1,1,Margarita,1,Lemon Meringue ,2,Loss
QEt_om1SWhakb,2,1,1,Margarita,2,Chocolate Bourbon Pecan,2,TieLoss
Rxs6yq6xmnqm,1,1,1,Strawberry Sour Cream ,0,Strawberry/Rhubarb (Seasonal • Spring) ,3,Loss
12SrkUjjCocAU,2,1,1,Strawberry Sour Cream ,2,Banana Coconut Cream,2,TieWin
LCh2wwKm61rbT,2,2,2,Strawberry Sour Cream ,1,Cinnamon Roll Apple,3,Loss
,1,1,0,Coconut Cream,0,,,Bye
mPWJLgq3IHfa,1,2,1,Coconut Cream,0,Whiskey Silk,3,Loss
,2,1,0,Coconut Cream,0,,,Bye
EvWIM0zOUfxwq,2,2,1,Coconut Cream,0,Strawberry Blackberry,4,Loss
k7wP7YnsYXSF,1,1,1,Blueberry Muffin,0,Bourbon Chocolate Pecan,3,Loss
,2,1,0,Blueberry Muffin,0,,,Bye
qSJXYjst4byq4,2,2,1,Blueberry Muffin,3,Snickers,1,Win
qIXTaWJyEbyXNt,2,3,2,Blueberry Muffin,2,Monster Cookie,2,TieWin
